,date,value,name_B07K2P1HTV
751,2020-12-06,45588.0,Panels
752,2020-12-07,60979.0,Panels
753,2020-12-08,60979.0,Panels
754,2020-12-09,56818.0,Panels
755,2020-12-10,43503.0,Panels
756,2020-12-11,43503.0,Panels
757,2020-12-12,43503.0,Panels
758,2020-12-13,43503.0,Panels
759,2020-12-14,43503.0,Panels
760,2020-12-15,59255.0,Panels
761,2020-12-16,59255.0,Panels
762,2020-12-17,58126.0,Panels
763,2020-12-18,58126.0,Panels
764,2020-12-19,58126.0,Panels
765,2020-12-20,58126.0,Panels
766,2020-12-21,39002.0,Panels
767,2020-12-22,39002.0,Panels
