,date,value,name_B076YGNW2Z
606,2019-07-13,104258.0,Reading Glasses
607,2019-07-14,104258.0,Reading Glasses
608,2019-07-15,98371.0,Reading Glasses
609,2019-07-16,98371.0,Reading Glasses
610,2019-07-17,74178.0,Reading Glasses
611,2019-07-18,88298.0,Reading Glasses
612,2019-07-19,88298.0,Reading Glasses
613,2019-07-20,93624.0,Reading Glasses
614,2019-07-21,106272.0,Reading Glasses
615,2019-07-22,106272.0,Reading Glasses
616,2019-07-23,126089.0,Reading Glasses
617,2019-07-24,126089.0,Reading Glasses
618,2019-07-25,86635.0,Reading Glasses
619,2019-07-26,156471.0,Reading Glasses
620,2019-07-27,156471.0,Reading Glasses
621,2019-07-28,198404.0,Reading Glasses
622,2019-07-29,124576.0,Reading Glasses
623,2019-07-30,124576.0,Reading Glasses
624,2019-07-31,327545.0,Reading Glasses
625,2019-08-01,238613.0,Reading Glasses
626,2019-08-02,238613.0,Reading Glasses
627,2019-08-03,238613.0,Reading Glasses
628,2019-08-04,238613.0,Reading Glasses
629,2019-08-05,132853.0,Reading Glasses
