,date,value,name_B07YB6HSB7
452,2020-12-21,19793.0,Wall & Tabletop Frames
453,2020-12-22,19793.0,Wall & Tabletop Frames
454,2020-12-23,13833.0,Wall & Tabletop Frames
455,2020-12-24,13833.0,Wall & Tabletop Frames
456,2020-12-25,13833.0,Wall & Tabletop Frames
457,2020-12-26,13833.0,Wall & Tabletop Frames
458,2020-12-27,13833.0,Wall & Tabletop Frames
459,2020-12-28,19518.0,Wall & Tabletop Frames
460,2020-12-29,19518.0,Wall & Tabletop Frames
461,2020-12-30,19518.0,Wall & Tabletop Frames
462,2020-12-31,19518.0,Wall & Tabletop Frames
463,2021-01-01,20918.0,Wall & Tabletop Frames
464,2021-01-02,20918.0,Wall & Tabletop Frames
465,2021-01-03,20918.0,Wall & Tabletop Frames
466,2021-01-04,14740.0,Wall & Tabletop Frames
467,2021-01-05,14740.0,Wall & Tabletop Frames
468,2021-01-06,14740.0,Wall & Tabletop Frames
469,2021-01-07,12404.0,Wall & Tabletop Frames
470,2021-01-08,12404.0,Wall & Tabletop Frames
471,2021-01-09,12404.0,Wall & Tabletop Frames
472,2021-01-10,12404.0,Wall & Tabletop Frames
473,2021-01-11,12404.0,Wall & Tabletop Frames
474,2021-01-12,15781.0,Wall & Tabletop Frames
475,2021-01-13,15781.0,Wall & Tabletop Frames
476,2021-01-14,15781.0,Wall & Tabletop Frames
477,2021-01-15,15275.0,Wall & Tabletop Frames
478,2021-01-16,15275.0,Wall & Tabletop Frames
479,2021-01-17,15275.0,Wall & Tabletop Frames
480,2021-01-18,15275.0,Wall & Tabletop Frames
481,2021-01-19,15275.0,Wall & Tabletop Frames
482,2021-01-20,15275.0,Wall & Tabletop Frames
483,2021-01-21,24173.0,Wall & Tabletop Frames
484,2021-01-22,24173.0,Wall & Tabletop Frames
485,2021-01-23,24173.0,Wall & Tabletop Frames
486,2021-01-24,12594.0,Wall & Tabletop Frames
487,2021-01-25,12594.0,Wall & Tabletop Frames
488,2021-01-26,12594.0,Wall & Tabletop Frames
489,2021-01-27,12594.0,Wall & Tabletop Frames
490,2021-01-28,12594.0,Wall & Tabletop Frames
491,2021-01-29,12594.0,Wall & Tabletop Frames
492,2021-01-30,12594.0,Wall & Tabletop Frames
493,2021-01-31,14240.0,Wall & Tabletop Frames
494,2021-02-01,13102.0,Wall & Tabletop Frames
495,2021-02-02,13102.0,Wall & Tabletop Frames
496,2021-02-03,13102.0,Wall & Tabletop Frames
497,2021-02-04,13102.0,Wall & Tabletop Frames
498,2021-02-05,13102.0,Wall & Tabletop Frames
499,2021-02-06,15013.0,Wall & Tabletop Frames
500,2021-02-07,15013.0,Wall & Tabletop Frames
501,2021-02-08,15013.0,Wall & Tabletop Frames
502,2021-02-09,15013.0,Wall & Tabletop Frames
503,2021-02-10,15013.0,Wall & Tabletop Frames
504,2021-02-11,15013.0,Wall & Tabletop Frames
505,2021-02-12,15013.0,Wall & Tabletop Frames
506,2021-02-13,15013.0,Wall & Tabletop Frames
507,2021-02-14,15013.0,Wall & Tabletop Frames
