,date,value,name_B07ZN47WHF
409,2020-12-15,5130.0,Duvet Covers & Sets
410,2020-12-16,5160.0,Duvet Covers & Sets
411,2020-12-17,5289.0,Duvet Covers & Sets
412,2020-12-18,4415.0,Duvet Covers & Sets
413,2020-12-19,4415.0,Duvet Covers & Sets
414,2020-12-20,1787.0,Duvet Covers & Sets
415,2020-12-21,2335.0,Duvet Covers & Sets
416,2020-12-22,2525.0,Duvet Covers & Sets
417,2020-12-23,2892.0,Duvet Covers & Sets
418,2020-12-24,3233.0,Duvet Covers & Sets
419,2020-12-25,3233.0,Duvet Covers & Sets
420,2020-12-26,3233.0,Duvet Covers & Sets
421,2020-12-27,2356.0,Duvet Covers & Sets
422,2020-12-28,2242.0,Duvet Covers & Sets
423,2020-12-29,2310.0,Duvet Covers & Sets
424,2020-12-30,2481.0,Duvet Covers & Sets
425,2020-12-31,2814.0,Duvet Covers & Sets
426,2021-01-01,2162.0,Duvet Covers & Sets
427,2021-01-02,2235.0,Duvet Covers & Sets
428,2021-01-03,2240.0,Duvet Covers & Sets
429,2021-01-04,2435.0,Duvet Covers & Sets
430,2021-01-05,2048.0,Duvet Covers & Sets
431,2021-01-06,2623.0,Duvet Covers & Sets
432,2021-01-07,2273.0,Duvet Covers & Sets
433,2021-01-08,2669.0,Duvet Covers & Sets
434,2021-01-09,2465.0,Duvet Covers & Sets
435,2021-01-10,2623.0,Duvet Covers & Sets
436,2021-01-11,2379.0,Duvet Covers & Sets
437,2021-01-12,2545.0,Duvet Covers & Sets
438,2021-01-13,2467.0,Duvet Covers & Sets
439,2021-01-14,2471.0,Duvet Covers & Sets
440,2021-01-15,2362.0,Duvet Covers & Sets
441,2021-01-16,2016.0,Duvet Covers & Sets
442,2021-01-17,2016.0,Duvet Covers & Sets
443,2021-01-18,1932.0,Duvet Covers & Sets
444,2021-01-19,2030.0,Duvet Covers & Sets
445,2021-01-20,2536.0,Duvet Covers & Sets
446,2021-01-21,2484.0,Duvet Covers & Sets
447,2021-01-22,2484.0,Duvet Covers & Sets
448,2021-01-23,2952.0,Duvet Covers & Sets
449,2021-01-24,3245.0,Duvet Covers & Sets
450,2021-01-25,3390.0,Duvet Covers & Sets
451,2021-01-26,3840.0,Duvet Covers & Sets
452,2021-01-27,3840.0,Duvet Covers & Sets
453,2021-01-28,5776.0,Duvet Covers & Sets
454,2021-01-29,8020.0,Duvet Covers & Sets
455,2021-01-30,9274.0,Duvet Covers & Sets
456,2021-01-31,9274.0,Duvet Covers & Sets
457,2021-02-01,7952.0,Duvet Covers & Sets
458,2021-02-02,8766.0,Duvet Covers & Sets
459,2021-02-03,8766.0,Duvet Covers & Sets
460,2021-02-04,8766.0,Duvet Covers & Sets
461,2021-02-05,8766.0,Duvet Covers & Sets
462,2021-02-06,9815.0,Duvet Covers & Sets
463,2021-02-07,11280.0,Duvet Covers & Sets
464,2021-02-08,10297.0,Duvet Covers & Sets
465,2021-02-09,10297.0,Duvet Covers & Sets
466,2021-02-10,5640.0,Duvet Covers & Sets
467,2021-02-11,5640.0,Duvet Covers & Sets
468,2021-02-12,4315.0,Duvet Covers & Sets
469,2021-02-13,4511.0,Duvet Covers & Sets
470,2021-02-14,4511.0,Duvet Covers & Sets
471,2021-02-15,4511.0,Duvet Covers & Sets
472,2021-02-16,2926.0,Duvet Covers & Sets
473,2021-02-17,3312.0,Duvet Covers & Sets
474,2021-02-18,4098.0,Duvet Covers & Sets
475,2021-02-19,4904.0,Duvet Covers & Sets
476,2021-02-20,4766.0,Duvet Covers & Sets
477,2021-02-21,3956.0,Duvet Covers & Sets
478,2021-02-22,3995.0,Duvet Covers & Sets
479,2021-02-23,3858.0,Duvet Covers & Sets
480,2021-02-24,3901.0,Duvet Covers & Sets
481,2021-02-25,5165.0,Duvet Covers & Sets
482,2021-02-26,5200.0,Duvet Covers & Sets
483,2021-02-27,5200.0,Duvet Covers & Sets
484,2021-02-28,5200.0,Duvet Covers & Sets
485,2021-03-01,3978.0,Duvet Covers & Sets
486,2021-03-02,3793.0,Duvet Covers & Sets
487,2021-03-03,3793.0,Duvet Covers & Sets
488,2021-03-04,4015.0,Duvet Covers & Sets
489,2021-03-05,4740.0,Duvet Covers & Sets
490,2021-03-06,4627.0,Duvet Covers & Sets
491,2021-03-07,4572.0,Duvet Covers & Sets
492,2021-03-08,4956.0,Duvet Covers & Sets
493,2021-03-09,5680.0,Duvet Covers & Sets
494,2021-03-10,7145.0,Duvet Covers & Sets
495,2021-03-11,6952.0,Duvet Covers & Sets
496,2021-03-12,6517.0,Duvet Covers & Sets
497,2021-03-13,6517.0,Duvet Covers & Sets
498,2021-03-14,5087.0,Duvet Covers & Sets
499,2021-03-15,4400.0,Duvet Covers & Sets
500,2021-03-16,5538.0,Duvet Covers & Sets
501,2021-03-17,5538.0,Duvet Covers & Sets
502,2021-03-18,5726.0,Duvet Covers & Sets
503,2021-03-19,3872.0,Duvet Covers & Sets
504,2021-03-20,5042.0,Duvet Covers & Sets
505,2021-03-21,6694.0,Duvet Covers & Sets
506,2021-03-22,6363.0,Duvet Covers & Sets
507,2021-03-23,6445.0,Duvet Covers & Sets
508,2021-03-24,6176.0,Duvet Covers & Sets
509,2021-03-25,5750.0,Duvet Covers & Sets
510,2021-03-26,4558.0,Duvet Covers & Sets
511,2021-03-27,4558.0,Duvet Covers & Sets
512,2021-03-28,4580.0,Duvet Covers & Sets
513,2021-03-29,3634.0,Duvet Covers & Sets
514,2021-03-30,3757.0,Duvet Covers & Sets
